N	Wave	B0	B1	S	Sair
170	869.54277943214	0.0197777513759849	0.0236165242476159	0.0391749349638253	0.0524473259060162
171	872.81980213952	0.0198271973347463	0.0235561094581832	0.0376886643759282	0.0505086828173941
172	876.09556537258	0.0197662561624074	0.02353789009465	0.0363658047333389	0.0487137207464739
173	879.37005726176	0.0197995077304421	0.0236270759843603	0.0350969406157717	0.04703390703801
174	882.6432659375	0.019779284152551	0.0235786640638632	0.0339345081476935	0.0454771342389678
175	885.91517953024	0.0198017490563121	0.0237798821417212	0.0328177612355348	0.0440068580719783
176	889.18578617042	0.0197661375183476	0.0236575110076556	0.0317587330533595	0.0426431172570394
177	892.45507398848	0.0198232370658224	0.0235185905427373	0.0306847208816508	0.0412042169736841
178	895.72303111486	0.0197612896871708	0.0234541955698463	0.0296683176859861	0.0398434800305178
179	898.98964568	0.0198115670267332	0.0236260322793957	0.0286207815951977	0.0384318365256855
180	902.25490581434	0.019777656111784	0.0238074494638694	0.0275604682108047	0.0370556421884146
181	905.51879964832	0.0198225382872058	0.0235883009222469	0.0265089554147551	0.0356616826963335
182	908.78131531238	0.0197902625665625	0.0235904700270955	0.025445356264728	0.0342475792809565
183	912.04244093696	0.0198069130390129	0.0234472998553093	0.02438578589936	0.0328334758655795
184	915.3021646525	0.0197747913811707	0.0234573149890999	0.0233624745959248	0.0314878617894088
185	918.56047458944	0.0198088565333976	0.0237503235931921	0.022306933015216	0.0301704492058524
186	921.81735887822	0.0197873219386462	0.0235465003551248	0.0213561398356463	0.0288449790529777
187	925.07280564928	0.0198134653316893	0.023458200890203	0.0203892315174398	0.0276323148705603
188	928.32680303306	0.0197625399861887	0.0235444384312175	0.0193417475060494	0.0263229598563223
189	931.57933916	0.0198132901572246	0.0237158422275185	0.0183587240492061	0.0250659790426539
190	934.83040216054	0.0197812328812325	0.023546721874041	0.0173152688224749	0.0237646815977343
191	938.07998016512	0.0198219789153593	0.0236326232090409	0.0162959863036989	0.0224794992914515
192	941.32806130418	0.0197761193222571	0.0235218953466159	0.0153331067701516	0.0212587775397158
